Date,Close
10/1/2012,13.12
10/2/2012,13.17
10/3/2012,13.04
10/4/2012,13.62
10/5/2012,13.3
10/8/2012,13.17
10/9/2012,12.89
10/10/2012,12.67
10/11/2012,12.74
10/12/2012,12.63
10/15/2012,12.79
10/16/2012,13.16
10/17/2012,13.06
10/18/2012,12.86
10/19/2012,12.11
10/22/2012,11.97
10/23/2012,12.33
10/24/2012,12.17
10/25/2012,12.18
10/26/2012,12.05
10/31/2012,11.98
11/1/2012,12.55
11/2/2012,12.49
11/5/2012,13.02
11/6/2012,13.01
11/7/2012,12.61
11/8/2012,12.68
11/9/2012,12.19
11/12/2012,11.92
11/13/2012,11.83
11/14/2012,11.54
11/15/2012,11.59
11/16/2012,11.38
11/19/2012,11.7
11/20/2012,11.49
11/21/2012,11.82
11/23/2012,11.9
11/26/2012,12.11
11/27/2012,12.16
11/28/2012,12.26
11/29/2012,12.04
11/30/2012,11.97
12/3/2012,11.75
12/4/2012,12.1
12/5/2012,11.96
12/6/2012,11.98
12/7/2012,11.96
12/10/2012,12.36
12/11/2012,12.65
12/12/2012,12.52
12/13/2012,12.53
12/14/2012,12.59
12/17/2012,12.54
12/18/2012,12.56
12/19/2012,12.65
12/20/2012,12.64
12/21/2012,12.35
12/24/2012,12.25
12/26/2012,12.24
12/27/2012,12.16
12/28/2012,12.1
12/31/2012,12.26
1/2/2013,12.72
1/3/2013,12.73
1/4/2013,13.15
1/7/2013,12.77
1/8/2013,12.49
1/9/2013,12.21
1/10/2013,12.23
1/11/2013,12.21
1/14/2013,12.2
1/15/2013,11.98
1/16/2013,12.09
1/17/2013,12.25
1/18/2013,12.17
1/22/2013,12.11
1/23/2013,12.13
1/24/2013,12.19
1/25/2013,12.41
1/28/2013,12.61
1/29/2013,12.34
1/30/2013,12.32
1/31/2013,12.26
2/1/2013,12.37
2/4/2013,12.16
2/5/2013,12.44
2/6/2013,12.34
2/7/2013,12.29
2/8/2013,12.37
2/11/2013,12.51
2/12/2013,12.43
2/13/2013,12.37
2/14/2013,12.73
2/15/2013,12.73
2/19/2013,12.56
2/20/2013,12.38
2/21/2013,12.29
2/22/2013,12.52
2/25/2013,12.3
2/26/2013,12.37
2/27/2013,12.6
2/28/2013,12.66
3/1/2013,12.71
3/4/2013,12.66
3/5/2013,12.8
3/6/2013,12.79
3/7/2013,12.76
3/8/2013,12.82
3/11/2013,12.7
3/12/2013,12.74
3/13/2013,12.74
3/14/2013,12.75
3/15/2013,12.64
3/18/2013,12.55
3/19/2013,12.47
3/20/2013,12.62
3/21/2013,12.42
3/22/2013,12.48
3/25/2013,12.41
3/26/2013,12.5
3/27/2013,12.65
3/28/2013,12.83
4/1/2013,12.41
4/2/2013,12.28
4/3/2013,12.13
4/4/2013,12.25
4/5/2013,12.46
4/8/2013,12.43
4/9/2013,12.63
4/10/2013,12.83
4/11/2013,12.77
4/12/2013,13.09
4/15/2013,12.82
4/16/2013,12.96
4/17/2013,12.79
4/18/2013,12.54
4/19/2013,12.57
4/22/2013,12.59
4/23/2013,12.92
4/24/2013,13.36
4/25/2013,13.47
4/26/2013,13.41
4/29/2013,13.57
4/30/2013,13.77
5/1/2013,13.65
5/2/2013,13.81
5/3/2013,13.87
5/6/2013,13.83
5/7/2013,13.65
5/8/2013,13.9
5/9/2013,13.91
5/10/2013,14.54
5/13/2013,14.24
5/14/2013,14.45
5/15/2013,14.7
5/16/2013,14.63
5/17/2013,14.87
5/20/2013,14.84
5/21/2013,14.92
5/22/2013,14.4
5/23/2013,14.63
5/24/2013,14.54
5/28/2013,14.53
5/29/2013,14.44
5/30/2013,14.63
5/31/2013,14.47
6/3/2013,14.45
6/4/2013,14.47
6/5/2013,14.16
6/6/2013,14.25
6/7/2013,14.45
6/10/2013,14.44
6/11/2013,14.17
6/12/2013,14.05
6/13/2013,14.37
6/14/2013,14.35
6/17/2013,14.49
6/18/2013,14.4
6/19/2013,14.84
6/20/2013,14.44
6/21/2013,14.42
6/24/2013,14.12
6/25/2013,14.22
6/26/2013,14.14
6/27/2013,14.01
6/28/2013,14.04
7/1/2013,14.1
7/2/2013,14.09
7/3/2013,14.13
7/5/2013,14.24
7/8/2013,14.17
