Date,Close
10/1/2012,29.16
10/2/2012,29.8
10/3/2012,29.3
10/4/2012,29.4
10/5/2012,28.89
10/8/2012,29.25
10/9/2012,28.37
10/10/2012,28.4
10/11/2012,28.32
10/12/2012,27.64
10/15/2012,27.33
10/16/2012,28.06
10/17/2012,28.82
10/18/2012,28.04
10/19/2012,27.74
10/22/2012,27.85
10/23/2012,28.39
10/24/2012,27.42
10/25/2012,27.52
10/26/2012,27.38
10/31/2012,28.13
11/1/2012,29.25
11/2/2012,28.92
11/5/2012,31.5
11/6/2012,31.15
11/7/2012,31.54
11/8/2012,31.31
11/9/2012,30.32
11/12/2012,31.07
11/13/2012,31.61
11/14/2012,31.38
11/15/2012,30.82
11/16/2012,31.84
11/19/2012,32.92
11/20/2012,33
11/21/2012,32.47
11/23/2012,32.13
11/26/2012,32.27
11/27/2012,32.15
11/28/2012,33.23
11/29/2012,33.69
11/30/2012,33.82
12/3/2012,34.62
12/4/2012,33.9
12/5/2012,33.71
12/6/2012,33.9
12/7/2012,34.17
12/10/2012,34.57
12/11/2012,35.28
12/12/2012,35.26
12/13/2012,33.61
12/14/2012,33.81
12/17/2012,34.4
12/18/2012,34.59
12/19/2012,34.61
12/20/2012,34.43
12/21/2012,34
12/24/2012,34.28
12/26/2012,33.59
12/27/2012,33.69
12/28/2012,33.22
12/31/2012,33.87
1/2/2013,35.36
1/3/2013,34.77
1/4/2013,34.4
1/7/2013,34.34
1/8/2013,33.68
1/9/2013,33.64
1/10/2013,33.53
1/11/2013,32.91
1/14/2013,33.26
1/15/2013,33.9
1/16/2013,34.1
1/17/2013,34.38
1/18/2013,34.52
1/22/2013,35.19
1/23/2013,36
1/24/2013,36.99
1/25/2013,36.98
1/28/2013,38.03
1/29/2013,37.95
1/30/2013,37.52
1/31/2013,37.51
2/1/2013,38.3
2/4/2013,37.74
2/5/2013,38.13
2/6/2013,39.17
2/7/2013,39.48
2/8/2013,39.24
2/11/2013,38.42
2/12/2013,37.89
2/13/2013,38.45
2/14/2013,38.3
2/15/2013,37.04
2/19/2013,39.28
2/20/2013,38.54
2/21/2013,35.16
2/22/2013,36.11
2/25/2013,34.38
2/26/2013,34.43
2/27/2013,35.1
2/28/2013,34.83
3/1/2013,34.65
3/4/2013,35.58
3/5/2013,36.65
3/6/2013,37.69
3/7/2013,38.23
3/8/2013,38.47
3/11/2013,39.1
3/12/2013,39.12
3/13/2013,38.98
3/14/2013,36.85
3/15/2013,35.29
3/18/2013,35.15
3/19/2013,35.08
3/20/2013,35.95
3/21/2013,36.01
3/22/2013,36.62
3/25/2013,37.53
3/26/2013,37.86
3/27/2013,38.16
3/28/2013,37.89
4/1/2013,43.93
4/2/2013,44.34
4/3/2013,41.1
4/4/2013,42.01
4/5/2013,41.37
4/8/2013,41.83
4/9/2013,40.5
4/10/2013,41.86
4/11/2013,43.59
4/12/2013,43.75
4/15/2013,43.3
4/16/2013,45.59
4/17/2013,45.45
4/18/2013,46.97
4/19/2013,47.83
4/22/2013,50.19
4/23/2013,51.01
4/24/2013,50.43
4/25/2013,52
4/26/2013,51.2
4/29/2013,54.94
